SpatialDim,TimeDim,Obesity,Undernourishment
LKA,2022,10.6,15.0
LKA,2022,10.6,11.1
KEN,1999,5.7,15.0
KEN,1999,5.7,18.7
KEN,1999,5.7,11.3
KEN,2021,17.8,8.3
KEN,2021,17.8,11.8
KEN,2021,17.8,15.5
KEN,2001,4.5,11.1
KEN,2001,4.5,14.6
KEN,2001,4.5,18.3
IND,2010,4.9,24.7
IND,2010,4.9,24.0
IND,2010,4.9,25.5
IND,2020,8.5,16.3
IND,2020,8.5,15.5
IND,2020,8.5,14.7
KEN,2015,4.4,9.0
KEN,2015,4.4,12.2
KEN,2015,4.4,15.4
IND,2007,3.0,26.8
IND,2007,3.0,27.6
IND,2007,3.0,28.3
KEN,2021,5.7,8.3
KEN,2021,5.7,11.8
KEN,2021,5.7,15.5
KEN,1997,1.8,11.4
KEN,1997,1.8,19.2
KEN,1997,1.8,15.2
LKA,2002,4.0,27.9
LKA,2002,4.0,23.7
LKA,2002,4.0,25.8
KEN,2020,17.2,15.4
KEN,2020,17.2,8.4
KEN,2020,17.2,11.9
KEN,2016,14.5,15.4
KEN,2016,14.5,8.9
